layout_id,src_id,dst_id,edge_type,contact_axis,gap_m,shared_span_m,physical_floor
BB_03,89,129,bbox_spatial_adjacency,x,0.1,4.66,0
BB_03,90,92,bbox_spatial_adjacency,x,0.2,5.0143,0
BB_03,90,96,bbox_spatial_adjacency,y,0.2,1.7722,0
BB_03,90,129,bbox_spatial_adjacency,x,0.1,5.0143,0
BB_03,90,131,bbox_spatial_adjacency,y,0.2,1.7722,0
BB_03,91,93,bbox_spatial_adjacency,y,0.2,2.3818,1
BB_03,91,94,bbox_spatial_adjacency,x,0.2,4.35,1
BB_03,91,132,bbox_spatial_adjacency,x,0.1,4.35,1
BB_03,91,134,bbox_spatial_adjacency,y,0.2,2.3818,1
BB_03,92,96,bbox_spatial_adjacency,x,0.2,6.7857,0
BB_03,92,97,bbox_spatial_adjacency,x,0.2,12.0,0
BB_03,92,131,bbox_spatial_adjacency,y,0.2,0.9833,0
BB_03,93,94,bbox_spatial_adjacency,x,0.2,7.45,1
BB_03,93,132,bbox_spatial_adjacency,x,0.1,7.45,1
BB_03,94,98,bbox_spatial_adjacency,x,0.2,2.18,1
BB_03,94,101,bbox_spatial_adjacency,x,0.2,4.76,1
BB_03,94,102,bbox_spatial_adjacency,x,0.2,4.66,1
BB_03,94,134,bbox_spatial_adjacency,y,0.2,1.0909,1
BB_03,95,99,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,95,100,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,95,135,bbox_spatial_adjacency,x,0.1,4.35,2
BB_03,95,137,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,96,129,bbox_spatial_adjacency,x,0.1,6.7857,0
BB_03,97,105,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,97,112,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,97,131,bbox_spatial_adjacency,y,0.2,3.7444,0
BB_03,98,101,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,98,107,bbox_spatial_adjacency,x,0.2,2.18,1
BB_03,98,134,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,99,100,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,99,103,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,99,104,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,99,137,bbox_spatial_adjacency,y,0.2,1.0909,2
BB_03,100,135,bbox_spatial_adjacency,x,0.1,7.45,2
BB_03,101,102,bbox_spatial_adjacency,y,0.2,3.0273,1
BB_03,101,107,bbox_spatial_adjacency,x,0.2,2.6343,1
BB_03,101,115,bbox_spatial_adjacency,x,0.2,1.9257,1
BB_03,102,115,bbox_spatial_adjacency,x,0.2,4.66,1
BB_03,103,104,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,103,111,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,103,137,bbox_spatial_adjacency,y,0.2,3.0273,2
BB_03,104,114,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,105,108,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,105,112,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,105,131,bbox_spatial_adjacency,y,0.2,2.3818,0
BB_03,106,107,bbox_spatial_adjacency,x,0.2,5.0143,1
BB_03,106,109,bbox_spatial_adjacency,x,0.2,12.0,1
BB_03,106,115,bbox_spatial_adjacency,x,0.2,6.7857,1
BB_03,106,134,bbox_spatial_adjacency,y,0.2,0.9833,1
BB_03,107,115,bbox_spatial_adjacency,y,0.2,1.7722,1
BB_03,107,134,bbox_spatial_adjacency,y,0.2,1.7722,1
BB_03,108,112,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,108,113,bbox_spatial_adjacency,x,0.2,4.35,0
BB_03,108,117,bbox_spatial_adjacency,x,0.2,7.45,0
BB_03,108,131,bbox_spatial_adjacency,y,0.2,1.0909,0
BB_03,109,134,bbox_spatial_adjacency,y,0.2,3.6444,1
BB_03,110,111,bbox_spatial_adjacency,x,0.2,4.35,2
BB_03,110,114,bbox_spatial_adjacency,x,0.2,7.45,2
BB_03,110,116,bbox_spatial_adjacency,x,0.2,2.18,2
BB_03,110,118,bbox_spatial_adjacency,x,0.2,4.76,2
BB_03,110,119,bbox_spatial_adjacency,x,0.2,4.66,2
BB_03,110,137,bbox_spatial_adjacency,y,0.2,1.0909,2
BB_03,111,114,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,111,137,bbox_spatial_adjacency,y,0.2,2.3818,2
BB_03,113,117,bbox_spatial_adjacency,y,0.2,2.9273,0
BB_03,113,131,bbox_spatial_adjacency,y,0.2,2.9273,0
BB_03,116,118,bbox_spatial_adjacency,y,0.2,2.9273,2
BB_03,116,137,bbox_spatial_adjacency,y,0.2,2.9273,2
BB_03,118,119,bbox_spatial_adjacency,y,0.2,2.9273,2
BB_03,120,121,bbox_spatial_adjacency,x,0.0,1.6,0
BB_03,120,122,bbox_spatial_adjacency,x,0.0,1.6,0
BB_03,120,138,bbox_spatial_adjacency,y,0.0,1.6,0
BB_03,123,124,bbox_spatial_adjacency,x,0.0,1.6,1
BB_03,123,125,bbox_spatial_adjacency,x,0.0,1.6,1
BB_03,123,139,bbox_spatial_adjacency,y,0.0,1.6,1
BB_03,126,127,bbox_spatial_adjacency,x,0.0,1.6,2
BB_03,126,128,bbox_spatial_adjacency,x,0.0,1.6,2
BB_03,126,140,bbox_spatial_adjacency,y,0.0,1.6,2
BB_03,129,130,bbox_spatial_adjacency,x,0.0,1.6,0
BB_03,129,131,bbox_spatial_adjacency,x,0.0,1.6,0
BB_03,129,138,bbox_spatial_adjacency,y,0.0,1.6,0
BB_03,130,138,bbox_spatial_adjacency,y,0.0,2.7,0
BB_03,131,138,bbox_spatial_adjacency,y,0.0,2.7,0
BB_03,132,133,bbox_spatial_adjacency,x,0.0,1.6,1
BB_03,132,134,bbox_spatial_adjacency,x,0.0,1.6,1
BB_03,132,139,bbox_spatial_adjacency,y,0.0,1.6,1
BB_03,133,139,bbox_spatial_adjacency,y,0.0,2.7,1
BB_03,134,139,bbox_spatial_adjacency,y,0.0,2.7,1
BB_03,135,136,bbox_spatial_adjacency,x,0.0,1.6,2
BB_03,135,137,bbox_spatial_adjacency,x,0.0,1.6,2
BB_03,135,140,bbox_spatial_adjacency,y,0.0,1.6,2
BB_03,136,140,bbox_spatial_adjacency,y,0.0,2.7,2
BB_03,137,140,bbox_spatial_adjacency,y,0.0,2.7,2
