graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,feat_feature_04,X,Y,Z
0,59,0,True,False,False,0.0,0.0,0.0,1.0,0.0,12.0,8.6,-6.0
0,60,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.618182,8.6,-4.175
0,61,0,True,False,False,0.0,0.0,0.0,1.0,0.0,12.0,5.4,-29.0
0,62,0,True,False,False,0.0,0.0,0.0,1.0,0.0,15.345454,5.4,-32.399999
0,63,0,True,False,False,0.0,0.0,0.0,1.0,0.0,5.6,8.6,-6.0
0,64,0,True,False,False,0.0,0.0,0.0,1.0,0.0,20.945455,5.4,-2.6
0,65,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.044444,5.4,-32.399999
0,66,0,True,False,False,0.0,1.0,0.0,0.0,0.0,15.916667,2.05,-6.0
0,67,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418181,8.6,-24.675
0,68,0,True,False,False,0.0,0.0,0.0,1.0,0.0,17.127272,8.6,-1.09
0,69,0,True,False,False,0.0,1.0,0.0,0.0,0.0,8.083333,2.05,-34.75
0,70,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,5.4,-27.63
0,71,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.618182,5.4,-33.325
0,72,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.327273,5.4,-24.090001
0,73,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,8.6,-10.325
0,74,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.818182,8.6,-4.175
0,75,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,8.6,-33.91
0,76,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.377777,5.4,-27.035714
0,77,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,8.6,-30.825
0,78,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.25,2.05,-34.75
0,79,0,True,False,False,0.0,0.0,0.0,1.0,0.0,9.927273,5.4,-4.63
0,80,0,True,False,False,0.0,0.0,0.0,1.0,0.0,16.844444,8.6,-9.4
0,81,0,True,False,False,0.0,1.0,0.0,0.0,0.0,0.25,2.05,-29.0
0,82,0,True,False,False,0.0,0.0,0.0,1.0,0.0,14.822222,8.6,-25.6
0,83,0,True,False,False,0.0,0.0,0.0,1.0,0.0,17.127272,8.6,-30.825
0,84,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.818182,5.4,-10.325
0,85,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418182,5.4,-4.175
0,86,0,True,False,False,0.0,0.0,0.0,1.0,0.0,2.545454,5.4,-2.6
0,87,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,8.6,-31.88
0,88,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,8.6,-33.324999
0,89,0,True,False,False,0.0,0.0,0.0,1.0,0.0,9.644444,8.6,-32.399999
0,90,0,True,False,False,0.0,0.0,0.0,1.0,0.0,19.418181,5.4,-27.175
0,91,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.377777,8.6,-30.964286
0,92,0,True,False,False,0.0,0.0,0.0,1.0,0.0,13.818182,8.6,-1.675
0,93,0,True,False,False,0.0,0.0,0.0,1.0,0.0,22.677272,8.6,-10.325
0,94,0,True,False,False,0.0,0.0,0.0,1.0,0.0,8.145454,8.6,-9.4
0,95,0,True,False,False,0.0,0.0,0.0,1.0,0.0,6.618182,8.6,-24.675
0,96,0,True,False,False,0.0,0.0,0.0,1.0,0.0,17.127272,8.6,-33.325
0,97,0,True,False,False,0.0,0.0,0.0,1.0,0.0,4.044444,8.6,-2.6
0,98,0,True,False,False,0.0,0.0,0.0,1.0,0.0,1.068182,5.4,-4.175
