layout_id,node_id,node_role,space_type,floor_id,physical_floor,component_id,community_id,degree,degree_cent,betweenness,closeness,clustering
BB_01,63,room,Hall,0,0,0,5,5,0.028736,0.019202,0.112694,0.4
BB_01,64,room,Bedroom,0,0,0,5,3,0.017241,0.000156,0.093148,0.666667
BB_01,65,room,Kitchen,2,1,1,7,4,0.022989,0.000739,0.092404,0.5
BB_01,66,room,Living,2,1,1,7,2,0.011494,0.0,0.109834,1.0
BB_01,67,room,Kitchen,0,0,0,5,3,0.017241,0.011026,0.112113,0.666667
BB_01,68,room,Living,0,0,0,5,2,0.011494,0.0,0.092357,1.0
BB_01,69,room,Bath,0,0,0,5,4,0.022989,0.004899,0.112987,0.5
BB_01,70,room,Bath,2,1,1,7,4,0.022989,0.003202,0.110692,0.666667
BB_01,71,room,Bedroom1,0,0,0,5,3,0.017241,0.001025,0.103819,0.333333
BB_01,72,room,Bedroom,2,1,1,7,3,0.017241,0.00016,0.101688,0.666667
BB_01,73,room,Hall,0,0,0,5,6,0.034483,0.039159,0.113577,0.333333
BB_01,74,room,Hall,2,1,1,7,5,0.028736,0.015286,0.110981,0.4
BB_01,75,room,Kitchen,0,0,0,5,3,0.017241,0.010781,0.112403,0.666667
BB_01,76,room,Kitchen,2,1,1,7,3,0.017241,0.011149,0.110405,0.666667
BB_01,77,room,Bedroom2,0,0,0,5,3,0.017241,0.000134,0.093148,0.666667
BB_01,78,room,Living,2,1,1,7,2,0.011494,0.0,0.091019,1.0
BB_01,79,room,Living,0,0,0,5,2,0.011494,0.0,0.092949,1.0
BB_01,80,room,Bath,1,0,0,6,3,0.017241,0.010759,0.111825,0.666667
BB_01,81,room,Bath,3,1,1,3,3,0.017241,0.011035,0.112747,0.666667
BB_01,82,room,Bedroom1,1,0,0,6,2,0.011494,0.0,0.092553,1.0
BB_01,83,room,Bedroom,3,1,1,3,2,0.011494,0.0,0.092807,1.0
BB_01,84,room,Hall,1,0,0,6,6,0.034483,0.035771,0.112987,0.333333
BB_01,85,room,Hall,3,1,1,3,5,0.028736,0.020961,0.113652,0.4
BB_01,86,room,Kitchen,1,0,0,6,4,0.022989,0.006138,0.112403,0.666667
