layout_id,n_nodes,n_edges,density,n_components,n_communities,avg_clustering,room_degree_cent_mean,room_betweenness_mean,room_closeness_mean,room_clustering_mean,corridor_degree_cent_mean,corridor_betweenness_mean,corridor_closeness_mean,corridor_clustering_mean,core_degree_cent_mean,core_betweenness_mean,core_closeness_mean,core_clustering_mean,max_diameter
BB_01,175,388,0.025484,2,8,0.55118,0.02185,0.01343,0.11403,0.58427,0.07088,0.30593,0.15143,0.16342,0.04598,0.51452,0.17769,0.21429,8
BB_02,381,858,0.011852,3,12,0.54872,0.01018,0.00822,0.07249,0.57266,0.04386,0.35679,0.09804,0.12573,0.02105,0.50975,0.11292,0.21429,8
BB_03,141,303,0.030699,3,11,0.53894,0.02708,0.02022,0.08517,0.58556,0.05238,0.25534,0.11418,0.27513,0.04524,0.54682,0.13876,0.25714,7
